SampleID	Salinity	pH	Redox_potential	Dissolved_oxygen	Temperature	AP	SM	NH4+_N	NO3-_N	TN	TC	TOC	Clay	Silt	Fine_sand	Medium_sand	Coarse_sand
mud10.2021.08.Z3	22.80 	8.05 	180.70 	6.15 	32.00 	17.67	28.48664688	9.592614108	0.545352697	0.134	2.297	1.120997729	19.62	41.74	9.04	13.12	16.47
mud11.2021.09.S1	20.04 	7.71 	197.80 	6.36 	25.90 	18.16	30.58637084	6.01466895	0.684303653	0.079	1.054	0.628071006	17.37	38.2	10.66	13.3	20.47
mud11.2021.09.S2	20.04 	7.71 	197.80 	6.36 	25.90 	18.16	30.58637084	6.01466895	0.684303653	0.079	1.054	0.628071006	17.37	38.2	10.66	13.3	20.47
mud11.2021.09.S3	20.04 	7.71 	197.80 	6.36 	25.90 	18.16	30.58637084	6.01466895	0.684303653	0.079	1.054	0.628071006	17.37	38.2	10.66	13.3	20.47
mud11.2021.09.X1	18.47 	8.04 	179.00 	7.15 	26.40 	15.95	26.13784135	8.908485915	0.548318662	0.069	1.055	0.647669601	20.58	43.28	13.12	11.85	11.17
mud11.2021.09.X2	18.47 	8.04 	179.00 	7.15 	26.40 	15.95	26.13784135	8.908485915	0.548318662	0.069	1.055	0.647669601	20.58	43.28	13.12	11.85	11.17
mud11.2021.09.X3	18.47 	8.04 	179.00 	7.15 	26.40 	15.95	26.13784135	8.908485915	0.548318662	0.069	1.055	0.647669601	20.58	43.28	13.12	11.85	11.17
mud11.2021.09.Z1	22.00 	7.64 	203.40 	5.84 	25.90 	16.51	29.02813299	7.932720721	0.591783784	0.068	0.997	0.673593762	19.18	38.74	11.33	12.6	18.02
mud11.2021.09.Z2	22.00 	7.64 	203.40 	5.84 	25.90 	16.51	29.02813299	7.932720721	0.591783784	0.068	0.997	0.673593762	19.18	38.74	11.33	12.6	18.02
mud11.2021.09.Z3	22.00 	7.64 	203.40 	5.84 	25.90 	16.51	29.02813299	7.932720721	0.591783784	0.068	0.997	0.673593762	19.18	38.74	11.33	12.6	18.02
mud12.2021.10.S1	21.57 	7.69 	101.70 	6.26 	26.50 	21.41	30.04552352	5.439251627	0.628980477	0.085	1.563	1.312109832	19.5	40.97	12.09	13.44	14
mud12.2021.10.S2	21.57 	7.69 	101.70 	6.26 	26.50 	21.41	30.04552352	5.439251627	0.628980477	0.085	1.563	1.312109832	19.5	40.97	12.09	13.44	14
mud12.2021.10.S3	21.57 	7.69 	101.70 	6.26 	26.50 	21.41	30.04552352	5.439251627	0.628980477	0.085	1.563	1.312109832	19.5	40.97	12.09	13.44	14
mud12.2021.10.X1	22.10 	8.19 	165.30 	4.62 	26.30 	26.33	35.9430605	15.29888889	0.601027778	0.079	1.363	0.815930455	32.6	57.01	4.16	3.96	2.27
mud12.2021.10.X2	22.10 	8.19 	165.30 	4.62 	26.30 	26.33	35.9430605	15.29888889	0.601027778	0.079	1.363	0.815930455	32.6	57.01	4.16	3.96	2.27
mud12.2021.10.X3	22.10 	8.19 	165.30 	4.62 	26.30 	26.33	35.9430605	15.29888889	0.601027778	0.079	1.363	0.815930455	32.6	57.01	4.16	3.96	2.27
mud12.2021.10.Z1	21.50 	8.07 	140.70 	4.61 	25.50 	21.21	31.53284672	9.800319829	0.540405117	0.076	1.22	0.861585049	21.95	44.02	10.59	9.36	14.04
mud12.2021.10.Z2	21.50 	8.07 	140.70 	4.61 	25.50 	21.21	31.53284672	9.800319829	0.540405117	0.076	1.22	0.861585049	21.95	44.02	10.59	9.36	14.04
mud12.2021.10.Z3	21.50 	8.07 	140.70 	4.61 	25.50 	21.21	31.53284672	9.800319829	0.540405117	0.076	1.22	0.861585049	21.95	44.02	10.59	9.36	14.04
mud13.2021.11.S1	20.98 	7.72 	122.90 	6.99 	19.10 	19.98	33.28290469	6.797358277	0.659501134	0.083	1.129	0.882721816	21.41	46.62	15.31	10.86	5.8
mud13.2021.11.S2	20.98 	7.72 	122.90 	6.99 	19.10 	19.98	33.28290469	6.797358277	0.659501134	0.083	1.129	0.882721816	21.41	46.62	15.31	10.86	5.8
mud13.2021.11.S3	20.98 	7.72 	122.90 	6.99 	19.10 	19.98	33.28290469	6.797358277	0.659501134	0.083	1.129	0.882721816	21.41	46.62	15.31	10.86	5.8
mud13.2021.11.X1	19.27 	8.30 	116.40 	8.07 	18.90 	23.47	29.19020716	14.24944149	0.564893617	0.082	1.268	0.890490753	26.01	49.76	9.16	7.1	7.93
mud13.2021.11.X2	19.27 	8.30 	116.40 	8.07 	18.90 	23.47	29.19020716	14.24944149	0.564893617	0.082	1.268	0.890490753	26.01	49.76	9.16	7.1	7.93
mud13.2021.11.X3	19.27 	8.30 	116.40 	8.07 	18.90 	23.47	29.19020716	14.24944149	0.564893617	0.082	1.268	0.890490753	26.01	49.76	9.16	7.1	7.93
mud13.2021.11.Z1	20.51 	8.21 	131.80 	8.78 	18.10 	20.5	35.45150502	10.25585492	0.611943005	0.066	1.21	0.770069204	27.49	55.94	9.27	4.96	2.34
mud13.2021.11.Z2	20.51 	8.21 	131.80 	8.78 	18.10 	20.5	35.45150502	10.25585492	0.611943005	0.066	1.21	0.770069204	27.49	55.94	9.27	4.96	2.34
mud13.2021.11.Z3	20.51 	8.21 	131.80 	8.78 	18.10 	20.5	35.45150502	10.25585492	0.611943005	0.066	1.21	0.770069204	27.49	55.94	9.27	4.96	2.34
mud14.2021.12.S1	23.00 	7.91 	-8.8	8.08 	9.20 	25.37	36.76148796	4.957422145	0.743217993	0.081	1.518	0.989459725	27.34	57.89	7.13	3.66	3.98
mud14.2021.12.S2	23.00 	7.91 	-55.3	8.08 	9.20 	25.37	36.76148796	4.957422145	0.743217993	0.081	1.518	0.989459725	27.34	57.89	7.13	3.66	3.98
mud14.2021.12.S3	23.00 	7.91 	-66.8	8.08 	9.20 	25.37	36.76148796	4.957422145	0.743217993	0.081	1.518	0.989459725	27.34	57.89	7.13	3.66	3.98
mud14.2021.12.X1	22.40 	7.86 	74.4	9.59 	9.80 	25.69	35.48387097	14.59325	0.713	0.09	1.454	0.834212161	27.75	58.13	6.23	4.02	3.87
mud14.2021.12.X2	22.40 	7.86 	34.1	9.59 	9.80 	25.69	35.48387097	14.59325	0.713	0.09	1.454	0.834212161	27.75	58.13	6.23	4.02	3.87
mud14.2021.12.X3	22.40 	7.86 	10.2	9.59 	9.80 	25.69	35.48387097	14.59325	0.713	0.09	1.454	0.834212161	27.75	58.13	6.23	4.02	3.87
mud14.2021.12.Z1	23.30 	7.90 	-96.2	7.52 	8.90 	29.38	38.86010363	13.66538136	0.727838983	0.086	1.669	0.995784572	30.34	62.62	5.65	1.39	0
mud14.2021.12.Z2	23.30 	7.90 	-111.8	7.52 	8.90 	29.38	38.86010363	13.66538136	0.727838983	0.086	1.669	0.995784572	30.34	62.62	5.65	1.39	0
mud14.2021.12.Z3	23.30 	7.90 	-115.7	7.52 	8.90 	29.38	38.86010363	13.66538136	0.727838983	0.086	1.669	0.995784572	30.34	62.62	5.65	1.39	0
mud15.2022.01.S1	23.50 	7.92 	-60.8	10.50 	6.70 	30.02	36.03082852	7.933509036	0.758177711	0.111	1.751	1.218011854	26.68	50.19	7.18	4.43	11.49
mud15.2022.01.S2	23.50 	7.92 	-63.3	10.50 	6.70 	30.02	36.03082852	7.933509036	0.758177711	0.111	1.751	1.218011854	26.68	50.19	7.18	4.43	11.49
mud15.2022.01.S3	23.50 	7.92 	-66.8	10.50 	6.70 	30.02	36.03082852	7.933509036	0.758177711	0.111	1.751	1.218011854	26.68	50.19	7.18	4.43	11.49
mud15.2022.01.X1	22.30 	8.07 	84.4	8.67 	7.60 	25.22	33.07332293	21.43390443	0.582727273	0.086	1.737	0.957235118	29.61	59.08	6.28	3.29	1.74
mud15.2022.01.X2	22.30 	8.07 	82.1	8.67 	7.60 	25.22	33.07332293	21.43390443	0.582727273	0.086	1.737	0.957235118	29.61	59.08	6.28	3.29	1.74
mud15.2022.01.X3	22.30 	8.07 	80.4	8.67 	7.60 	25.22	33.07332293	21.43390443	0.582727273	0.086	1.737	0.957235118	29.61	59.08	6.28	3.29	1.74
mud15.2022.01.Z1	22.30 	7.92 	33.4	9.51 	7.00 	36.14	39.48339483	25.19143293	0.69402439	0.109	1.636	1.066005561	32.92	60.95	4.49	1.59	0.05
mud15.2022.01.Z2	22.30 	7.92 	30.4	9.51 	7.00 	36.14	39.48339483	25.19143293	0.69402439	0.109	1.636	1.066005561	32.92	60.95	4.49	1.59	0.05
mud15.2022.01.Z3	22.30 	7.92 	28.4	9.51 	7.00 	36.14	39.48339483	25.19143293	0.69402439	0.109	1.636	1.066005561	32.92	60.95	4.49	1.59	0.05
mud16.2022.02.S1	21.90 	7.68 	-20.9	4.86 	20.20 	30.61	35.20833333	5.209003215	0.818006431	0.077	1.347	0.708405193	27.04	59.83	7.39	4.27	1.47
mud16.2022.02.S2	21.90 	7.69 	-20.9	4.90 	20.20 	30.61	35.20833333	5.209003215	0.818006431	0.077	1.347	0.708405193	27.04	59.83	7.39	4.27	1.47
mud16.2022.02.S3	21.98 	7.79 	-20.9	5.76 	20.20 	30.61	35.20833333	5.209003215	0.818006431	0.077	1.347	0.708405193	27.04	59.83	7.39	4.27	1.47
mud16.2022.02.X1	22.00 	7.96 	131.2	5.50 	18.70 	27.92	33.51800554	16.80154167	0.819770833	0.078	1.581	0.858418355	28.48	59.79	5.71	3.29	2.73
mud16.2022.02.X2	22.00 	7.97 	131.2	5.23 	18.80 	27.92	33.51800554	16.80154167	0.819770833	0.078	1.581	0.858418355	28.48	59.79	5.71	3.29	2.73
mud16.2022.02.X3	22.00 	7.96 	131.2	5.50 	18.80 	27.92	33.51800554	16.80154167	0.819770833	0.078	1.581	0.858418355	28.48	59.79	5.71	3.29	2.73
mud16.2022.02.Z1	22.30 	7.81 	123.1	6.50 	19.30 	26.56	35.03289474	10.48992405	0.63878481	0.098	1.427	0.919991784	28.92	59.19	7.35	3.77	0.77
mud16.2022.02.Z2	22.30 	7.82 	123.1	6.20 	19.30 	26.56	35.03289474	10.48992405	0.63878481	0.098	1.427	0.919991784	28.92	59.19	7.35	3.77	0.77
mud16.2022.02.Z3	22.20 	7.73 	123.1	6.30 	19.30 	26.56	35.03289474	10.48992405	0.63878481	0.098	1.427	0.919991784	28.92	59.19	7.35	3.77	0.77
mud17.2022.03.S1	22.20 	7.26 	-49.6	8.08 	14.00 	19.83	36.86440678	5.084295302	0.791946309	0.082	1.427	0.7633141	24.8	69.06	5.08	1.06	0
